sofifa_id,player_url,short_name,long_name,age,,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,,player_tags,team_position,,,,,nation_position,,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
231747,https://sofifa.com/player/231747/kylian-mbappe/20/159586,K. MbappÃ©,Kylian MbappÃ©,20,,178,73,France,Paris Saint-Germain,89,95,93500000,155000,"ST, RW",Right,3,4,5,High/Low,Normal,Yes,,"#Speedster, #Dribbler, #Acrobat",RW,,,,,RM,,96,84,78,90,39,75,,,,,,,"Beat Offside Trap, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6
201024,https://sofifa.com/player/201024/kalidou-koulibaly/20/159586,K. Koulibaly,Kalidou Koulibaly,28,,187,89,Senegal,Napoli,89,91,67500000,150000,CB,Right,3,3,2,Medium/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ , #Strength, #Complete Defender",LCB,,,,,,,71,28,54,67,89,87,,,,,,,Long Passer (CPU AI Only),30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5
202126,https://sofifa.com/player/202126/harry-kane/20/159586,H. Kane,Harry Kane,25,,188,89,England,Tottenham Hotspur,89,91,83000000,220000,ST,Right,3,4,3,High/High,Normal,Yes,,"#Engine, #Distance Shooter, #Clinical Finisher",ST,,,,,ST,,70,91,79,81,47,83,,,,,,,"Injury Free, Avoids Using Weaker Foot, Argues with Officials, Giant Throw-in",75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11
212831,https://sofifa.com/player/212831/alisson-ramses-becker/20/159586,Alisson,Alisson Ramses Becker,26,,191,91,Brazil,Liverpool,89,91,58000000,155000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,,,GK,,,,,,,,,,,,,85,84,85,89,51,90,"Flair, Swerve Pass",17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89
193080,https://sofifa.com/player/193080/david-de-gea-quintana/20/159586,De Gea,David De Gea Quintana,28,,192,82,Spain,Manchester United,89,90,56000000,205000,GK,Right,4,3,1,Medium/Medium,Lean,Yes,,,GK,,,,,GK,,,,,,,,90,84,81,92,58,85,"Flair, Second Wind, Flair Passes",17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92
215914,https://sofifa.com/player/215914/ngolo-kante/20/159586,N. KantÃ©,N'Golo KantÃ©,28,,168,72,France,Chelsea,89,90,66000000,235000,"CDM, CM",Right,3,3,2,Medium/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ ",RCM,,,,,LDM,,78,65,77,81,87,83,,,,,,,Diver,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10
138956,https://sofifa.com/player/138956/giorgio-chiellini/20/159586,G. Chiellini,Giorgio Chiellini,34,,187,85,Italy,Juventus,89,89,24500000,215000,CB,Left,4,3,2,Medium/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ , #Strength, #Complete Defender",LCB,,,,,LCB,,68,46,58,60,90,82,,,,,,,"Inflexible, Power Free-Kick, Injury Prone, Long Passer (CPU AI Only)",54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3
153079,https://sofifa.com/player/153079/sergio-aguero/20/159586,S. AgÃ_ero,Sergio Leonel AgÃ_ero del Castillo,31,,173,70,Argentina,Manchester City,89,89,60000000,300000,ST,Right,4,4,4,High/Medium,Stocky,Yes,,"#Dribbler, #Clinical Finisher, #Complete Forward",ST,,,,,ST,,80,90,77,88,33,74,,,,,,,"Avoids Using Weaker Foot, Outside Foot Shot",70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14
155862,https://sofifa.com/player/155862/sergio-ramos-garcia/20/159586,Sergio Ramos,Sergio Ramos GarcÃ_a,33,,184,82,Spain,Real Madrid,89,89,31500000,300000,CB,Right,4,3,3,High/Medium,Normal,Yes,,"#Aerial Threat, #TacklingÂ , #TacticianÂ , #Complete Defender",LCB,,,,,RCB,,72,68,75,73,87,85,,,,,,,"Injury Prone, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only), Giant Throw-in",66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11
176580,https://sofifa.com/player/176580/luis-suarez/20/159586,L. SuÃ¡rez,Luis Alberto SuÃ¡rez DÃ_az,32,,182,86,Uruguay,FC Barcelona,89,89,53000000,355000,ST,Right,5,4,3,High/Medium,Normal,Yes,,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,,,,,,,73,89,80,84,51,84,,,,,,,"Diver, Speed Dribbler (CPU AI Only)",78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37
188545,https://sofifa.com/player/188545/robert-lewandowski/20/159586,R. Lewandowski,Robert Lewandowski,30,,184,80,Poland,FC Bayern MÃ_nchen,89,89,64500000,235000,ST,Right,4,4,4,High/Medium,Normal,Yes,,#Clinical Finisher,ST,,,,,LS,,77,87,74,85,41,82,,,,,,,"Diver, Beat Offside Trap, Speed Dribbler (CPU AI Only), Outside Foot Shot",62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10
189511,https://sofifa.com/player/189511/sergio-busquets-burgos/20/159586,Sergio Busquets,Sergio Busquets i Burgos,30,,189,76,Spain,FC Barcelona,89,89,55000000,300000,"CDM, CM",Right,4,3,3,Medium/Medium,Lean,Yes,,"#PlaymakerÂ  , #TacticianÂ ",CDM,,,,,CDM,,42,62,80,80,85,80,,,,,,,Giant Throw-in,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13
194765,https://sofifa.com/player/194765/antoine-griezmann/20/159586,A. Griezmann,Antoine Griezmann,28,,176,73,France,FC Barcelona,89,89,69000000,370000,"CF, ST, LW",Left,4,3,4,High/High,Normal,Yes,,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,,,,CAM,,81,86,84,89,57,72,,,,,,,"Beat Offside Trap, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14
211110,https://sofifa.com/player/211110/paulo-dybala/20/159586,P. Dybala,Paulo Bruno Exequiel Dybala,25,,177,75,Argentina,Juventus,88,92,76500000,215000,"CAM, RW",Left,3,3,4,Medium/Medium,Normal,Yes,,"#Dribbler, #PlaymakerÂ  , #FK Specialist, #Acrobat, #Complete Midfielder",RW,,,,,CF,,83,82,84,90,43,64,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8
195864,https://sofifa.com/player/195864/paul-pogba/20/159586,P. Pogba,Paul Pogba,26,,191,84,France,Manchester United,88,91,72500000,250000,"CM, CDM",Right,4,4,5,High/Medium,Normal,Yes,,"#Dribbler, #PlaymakerÂ  , #Strength, #Complete Midfielder",LDM,,,,,RDM,,74,81,86,85,66,86,,,,,,,"Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite",80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3
210257,https://sofifa.com/player/210257/ederson-santana-de-moraes/20/159586,Ederson,Ederson Santana de Moraes,25,,188,86,Brazil,Manchester City,88,91,54500000,185000,GK,Left,2,3,1,Medium/Medium,Normal,Yes,,,GK,,,,,,,,,,,,,86,82,93,88,63,86,"Leadership, Swerve Pass, Acrobatic Clearance",20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88
202652,https://sofifa.com/player/202652/raheem-sterling/20/159586,R. Sterling,Raheem Sterling,24,,170,69,England,Manchester City,88,90,73000000,255000,"RW, LW",Right,3,3,4,High/Medium,Lean,Yes,,"#Speedster, #Dribbler, #Acrobat",LW,,,,,LW,,93,79,78,89,45,57,,,,,,,"Selfish, Early Crosser",78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9
190460,https://sofifa.com/player/190460/christian-eriksen/20/159586,C. Eriksen,Christian  Dannemann Eriksen,27,,181,76,Denmark,Tottenham Hotspur,88,89,68000000,205000,"CAM, CM",Right,3,5,4,High/High,Lean,Yes,,"#PlaymakerÂ  , #Engine, #Crosser, #FK Specialist, #Complete Midfielder",RM,,,,,CAM,,73,81,90,84,53,63,,,,,,,"Selfish, Argues with Officials, Finesse Shot",88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6
192119,https://sofifa.com/player/192119/thibaut-courtois/20/159586,T. Courtois,Thibaut Courtois,27,,199,96,Belgium,Real Madrid,88,89,48000000,235000,GK,Left,4,2,1,Medium/Medium,Courtois,Yes,,,GK,,,,,GK,,,,,,,,85,89,72,87,49,85,"Flair, Acrobatic Clearance",14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87
152729,https://sofifa.com/player/152729/gerard-pique-bernabeu/20/159586,PiquÃ©,Gerard PiquÃ© BernabÃ©u,32,,194,85,Spain,FC Barcelona,88,88,38000000,285000,CB,Right,4,3,2,High/Medium,Normal,Yes,,"#Aerial Threat, #TacklingÂ , #TacticianÂ , #Strength, #Complete Defender",RCB,,,,,,,56,61,72,68,88,80,,,,,,,Avoids Using Weaker Foot,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8
162835,https://sofifa.com/player/162835/samir-handanovic/20/159586,S. HandanoviÄç,Samir HandanoviÄç,34,,193,92,Slovenia,Inter,88,88,26000000,110000,GK,Right,3,2,1,Medium/Medium,Normal,Yes,,,GK,,,,,,,,,,,,,88,85,69,89,53,89,"Flair, Giant Throw-in",12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89
167495,https://sofifa.com/player/167495/manuel-neuer/20/159586,M. Neuer,Manuel Neuer,33,,193,92,Germany,FC Bayern MÃ_nchen,88,88,32000000,155000,GK,Right,5,4,1,Medium/Medium,Normal,Yes,,,GK,,,,,GK,,,,,,,,87,87,91,87,57,85,"Power Free-Kick, Flair, Swerve Pass, Acrobatic Clearance",15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87
167948,https://sofifa.com/player/167948/hugo-lloris/20/159586,H. Lloris,Hugo Lloris,32,,188,82,France,Tottenham Hotspur,88,88,36000000,150000,GK,Left,4,1,1,Medium/Medium,Lean,Yes,,,GK,,,,,GK,,,,,,,,89,82,68,91,63,84,"Swerve Pass, Acrobatic Clearance",13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91
168542,https://sofifa.com/player/168542/david-josue-jimenez-silva/20/159586,David Silva,David JosuÃ© JimÃ©nez Silva,33,,173,67,Spain,Manchester City,88,88,36000000,265000,"CAM, CM",Left,4,2,4,High/Medium,Normal,Yes,,"#Dribbler, #PlaymakerÂ  , #Acrobat, #Complete Midfielder",LCM,,,,,,,65,74,88,89,52,57,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot",84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12
179813,https://sofifa.com/player/179813/edinson-cavani/20/159586,E. Cavani,Edinson Roberto Cavani GÃ_mez,32,,185,77,Uruguay,Paris Saint-Germain,88,88,47000000,195000,ST,Right,4,4,3,High/High,Lean,Yes,,#Engine,ST,,,,,,,75,86,72,79,55,83,,,,,,,Long Passer (CPU AI Only),70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10
182493,https://sofifa.com/player/182493/diego-godin/20/159586,D. GodÃ_n,Diego GodÃ_n,33,,187,78,Uruguay,Inter,88,88,28000000,135000,CB,Right,3,3,2,Medium/High,Lean,Yes,,"#TacklingÂ , #TacticianÂ ",RCB,,,,,,,60,48,64,61,89,83,,,,,,,"Injury Prone, Long Passer (CPU AI Only)",52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15
182521,https://sofifa.com/player/182521/toni-kroos/20/159586,T. Kroos,Toni Kroos,29,,183,76,Germany,Real Madrid,88,88,57000000,330000,CM,Right,4,5,3,Medium/Medium,Normal,Yes,,"#PlaymakerÂ  , #Crosser, #Complete Midfielder",LCM,,,,,SUB,,45,80,90,81,70,69,,,,,,,"Argues with Officials, Finesse Shot, Crowd Favourite",88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10
188350,https://sofifa.com/player/188350/marco-reus/20/159586,M. Reus,Marco Reus,30,,180,71,Germany,Borussia Dortmund,88,88,56000000,170000,"CAM, LM, ST",Right,4,4,4,High/Medium,Lean,Yes,,"#Dribbler, #PlaymakerÂ  , #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,,,,,ST,,85,88,84,87,45,66,,,,,,,"Power Free-Kick, Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only)",82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11
188567,https://sofifa.com/player/188567/pierre-emerick-aubameyang/20/159586,P. Aubameyang,Pierre-Emerick Aubameyang,30,,187,80,Gabon,Arsenal,88,88,57000000,205000,"ST, LM",Right,3,4,4,Medium/Low,Lean,Yes,,"#Poacher, #Speedster, #Complete Forward",LM,,,,,,,94,85,75,80,37,69,,,,,,,"Diver, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9
208722,https://sofifa.com/player/208722/sadio-mane/20/159586,S. ManÃ©,Sadio ManÃ©,27,,175,69,Senegal,Liverpool,88,88,62000000,220000,"LW, LM",Right,3,4,4,High/Medium,Normal,Yes,,"#Speedster, #Dribbler, #Acrobat",LW,,,,,,,94,83,77,89,44,74,,,,,,,"Selfish, Early Crosser",74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14
212218,https://sofifa.com/player/212218/aymeric-laporte/20/159586,A. Laporte,Aymeric  Laporte,25,,189,85,France,Manchester City,87,90,56500000,195000,"CB, LB",Left,2,3,2,Medium/Medium,Normal,Yes,,"#TacklingÂ , #TacticianÂ ",LCB,,,,,,,64,50,71,68,88,82,,,,,,,Leadership,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5
218667,https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/20/159586,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,,173,64,Portugal,Manchester City,87,90,64000000,210000,"RW, CAM, CM",Left,2,3,4,High/High,Lean,Yes,,"#Dribbler, #Engine, #Acrobat",RW,,,,,CAM,,81,76,83,92,51,67,,,,,,,"Selfish, Finesse Shot, Crowd Favourite",85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9
200145,https://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/20/159586,Casemiro,Carlos Henrique Venancio Casimiro,27,,185,84,Brazil,Real Madrid,87,89,53500000,240000,CDM,Right,3,3,2,Medium/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ , #Strength, #Complete Defender",CDM,,,,,,,62,72,75,72,85,89,,,,,,,"Long Throw-in, Injury Prone, Argues with Officials",58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12
200104,https://sofifa.com/player/200104/heung-min-son/20/159586,H. Son,ì†êíù¥ë¯_ å_™å…´æ…œ,26,,183,78,Korea Republic,Tottenham Hotspur,87,88,60000000,185000,"CF, LM",Right,3,5,4,High/High,Lean,Yes,,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LM,,,,,,,88,86,80,87,42,68,,,,,,,"Diver, Beat Offside Trap, Argues with Officials, Early Crosser",81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10
135507,https://sofifa.com/player/135507/fernando-luiz-rosa/20/159586,Fernandinho,Fernando Luiz Rosa,34,,179,67,Brazil,Manchester City,87,87,19500000,200000,CDM,Right,3,4,3,Medium/High,Lean,Yes,,#TacticianÂ ,CDM,,,,,,,66,74,79,78,84,79,,,,,,,Argues with Officials,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,12,11,5,13,7
164240,https://sofifa.com/player/164240/thiago-emiliano-da-silva/20/159586,Thiago Silva,Thiago Emiliano da Silva,34,,183,82,Brazil,Paris Saint-Germain,87,87,18500000,135000,CB,Right,4,3,2,Medium/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ ",LCB,,,,,,,62,54,72,72,87,78,,,,,,,"Avoids Using Weaker Foot, Long Passer (CPU AI Only)",60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10
165153,https://sofifa.com/player/165153/karim-benzema/20/159586,K. Benzema,Karim Benzema,31,,185,81,France,Real Madrid,87,87,45000000,285000,"CF, ST",Right,4,4,4,Medium/Low,Normal,Yes,,,CF,,,,,,,76,82,80,86,39,77,,,,,,,"Finesse Shot, Speed Dribbler (CPU AI Only), Giant Throw-in",75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7
172871,https://sofifa.com/player/172871/jan-vertonghen/20/159586,J. Vertonghen,Jan Vertonghen,32,,189,86,Belgium,Tottenham Hotspur,87,87,32500000,155000,CB,Left,3,3,3,High/High,Normal,Yes,,"#TacklingÂ , #TacticianÂ ",LCB,,,,,LCB,,63,63,74,72,87,79,,,,,,,"Long Throw-in, Avoids Using Weaker Foot",72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7
